Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
t02-UJ-ATACseq_S14_L001_R1_001	21.1790284969	64.0	68.0986102079	871857.0	18.1818181818
t02-UJ-ATACseq_S14_L001_R2_001	20.1765438151	64.0	66.3349333664	871857.0	18.1818181818
t02-UJ-ATACseq_S14_L002_R1_001	19.3788135926	64.0	67.9509855678	884617.0	18.1818181818
t02-UJ-ATACseq_S14_L002_R2_001	18.662415214	64.0	66.7933354209	884617.0	18.1818181818
t02-UJ-ATACseq_S14_L003_R1_001	18.7821289949	63.0	68.6162829632	785459.0	18.1818181818
t02-UJ-ATACseq_S14_L003_R2_001	15.6558824453	63.0	67.7771723285	785459.0	27.2727272727
t02-UJ-ATACseq_S14_L004_R1_001	20.5684684183	64.0	67.8425242987	853338.0	18.1818181818
t02-UJ-ATACseq_S14_L004_R2_001	7.68938008326	64.0	47.0951510421	853338.0	27.2727272727
t02-UJ-ATACseq_S3_L001_R1_001	20.843914378	63.0	67.7707804068	773084.0	18.1818181818
t02-UJ-ATACseq_S3_L001_R2_001	20.4897969724	63.0	67.1490614215	773084.0	18.1818181818
t02-UJ-ATACseq_S3_L002_R1_001	18.4693843428	63.0	68.0787290699	723659.0	18.1818181818
t02-UJ-ATACseq_S3_L002_R2_001	18.0052154651	63.0	67.4121499214	723659.0	27.2727272727
t02-UJ-ATACseq_S3_L003_R1_001	19.7113030488	62.0	68.2062805863	835750.0	18.1818181818
t02-UJ-ATACseq_S3_L003_R2_001	19.3819109532	62.0	67.8130122644	835750.0	18.1818181818
t02-UJ-ATACseq_S3_L004_R1_001	22.1221305443	62.0	68.12763009	834192.0	18.1818181818
t02-UJ-ATACseq_S3_L004_R2_001	21.997343468	62.0	67.8113288068	834192.0	18.1818181818
